record_id,date,Lantai_No_mean,Lantai_No_max,Lantai_No_min,Lantai_No_std,Lantai_No_count,Occupansi_mean,Occupansi_max,Occupansi_min,Occupansi_std,Occupansi_count,building,category,system_type,level,meter_id,description,source_file,file_path,processed_ts
250,2024-09-06,4.77,8,1,2.08,223,7.68,297,0,20.64,223,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
251,2024-09-07,4.74,8,1,2.08,227,7.43,207,0,14.75,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
252,2024-09-08,4.76,8,1,2.08,227,7.22,262,0,18.13,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
253,2024-09-09,4.74,8,1,2.1,220,7.97,299,0,20.64,220,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
254,2024-09-10,4.78,8,1,2.1,224,7.47,252,0,17.75,224,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
255,2024-09-11,4.79,8,1,2.08,227,7.73,300,0,20.4,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
256,2024-09-12,4.77,8,1,2.09,225,7.57,229,0,16.32,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
257,2024-09-13,4.78,8,1,2.09,225,6.92,209,0,14.97,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
258,2024-09-14,4.79,8,1,2.09,229,7.44,229,0,16.26,229,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
259,2024-09-15,4.76,8,1,2.07,228,8.09,294,0,20.31,228,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
260,2024-09-16,4.75,8,1,2.08,225,7.16,217,0,15.33,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
261,2024-09-17,4.78,8,1,2.09,229,7.61,249,0,17.18,229,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
262,2024-09-18,4.79,8,1,2.08,226,7.31,246,0,17.3,226,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
263,2024-09-19,4.75,8,1,2.09,224,7.21,204,0,14.87,224,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
264,2024-09-20,4.79,8,1,2.08,225,7.03,222,0,15.82,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
265,2024-09-21,4.75,8,1,2.11,222,7.57,262,0,18.37,222,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
266,2024-09-22,4.8,8,1,2.08,233,7.89,244,0,17.05,233,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
267,2024-09-23,4.78,8,1,2.09,221,7.3,221,0,15.99,221,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
268,2024-09-24,4.76,8,1,2.08,230,7.8,255,0,17.49,230,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
269,2024-09-25,4.79,8,1,2.08,228,7.35,268,0,18.38,228,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
