id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
609621,32,2024-01-02 05:50:03,OPMC_AHU_L6,3017140.0,227,228,230,50.05,1.0,2024-01-02 05:50:23.000,2024-01-02 05:50:23.000,2024-01-02 05:50:23.000,28419.0,28672.0,3048968,-89.0,107
609668,32,2024-01-02 06:10:03,OPMC_AHU_L6,3017140.0,226,226,228,49.96,1.0,2024-01-02 06:10:15.000,2024-01-02 06:10:15.000,2024-01-02 06:10:15.000,28419.0,28672.0,3048968,-89.0,107
609697,32,2024-01-02 06:20:03,OPMC_AHU_L6,3017140.0,225,225,227,49.97,1.0,2024-01-02 06:20:27.000,2024-01-02 06:20:27.000,2024-01-02 06:20:27.000,28419.0,28672.0,3048968,-93.0,107
609721,32,2024-01-02 06:31:32,OPMC_AHU_L6,3017140.0,225,225,227,50.02,1.0,2024-01-02 06:31:35.000,2024-01-02 06:31:35.000,2024-01-02 06:31:35.000,28419.0,28672.0,3048968,-91.0,107
609747,32,2024-01-02 06:40:03,OPMC_AHU_L6,3017140.0,225,226,227,49.97,1.0,2024-01-02 06:40:17.000,2024-01-02 06:40:17.000,2024-01-02 06:40:17.000,28419.0,28672.0,3048968,-96.0,107
609763,32,2024-01-02 06:50:03,OPMC_AHU_L6,3017140.0,225,225,227,49.97,1.0,2024-01-02 06:50:04.000,2024-01-02 06:50:04.000,2024-01-02 06:50:04.000,28419.0,28672.0,3048968,-90.0,107
609792,32,2024-01-02 07:00:03,OPMC_AHU_L6,3017140.0,224,225,227,49.99,1.0,2024-01-02 07:00:08.000,2024-01-02 07:00:08.000,2024-01-02 07:00:08.000,28419.0,28672.0,3048968,-95.0,107
609809,32,2024-01-02 07:10:03,OPMC_AHU_L6,3017140.0,226,226,228,50.03,1.0,2024-01-02 07:10:04.000,2024-01-02 07:10:04.000,2024-01-02 07:10:04.000,28419.0,28672.0,3048968,-91.0,107
609851,32,2024-01-02 07:20:03,OPMC_AHU_L6,3017140.0,225,225,227,49.99,1.0,2024-01-02 07:20:27.000,2024-01-02 07:20:27.000,2024-01-02 07:20:27.000,28419.0,28672.0,3048968,-91.0,107
609918,32,2024-01-02 07:50:03,OPMC_AHU_L6,3017140.0,226,226,228,49.99,1.0,2024-01-02 07:50:10.000,2024-01-02 07:50:10.000,2024-01-02 07:50:10.000,28419.0,28672.0,3048968,-90.0,107
609947,32,2024-01-02 08:00:03,OPMC_AHU_L6,3017140.0,225,225,227,49.99,1.0,2024-01-02 08:00:15.000,2024-01-02 08:00:15.000,2024-01-02 08:00:15.000,28419.0,28672.0,3048968,-91.0,107
609978,32,2024-01-02 08:10:03,OPMC_AHU_L6,3017140.0,224,224,226,49.99,1.0,2024-01-02 08:10:26.000,2024-01-02 08:10:26.000,2024-01-02 08:10:26.000,28419.0,28672.0,3048968,-90.0,107
